distance_mm,ch1_median,ch1_mono,ch1_p25,ch1_p75,n,n_files,slope_per_mm,est_res_mm,quality,quality_name
0,3565133.0,3565133.0,3542879.8,3580671.5,98,10,-134112.00,0.209,0,good
1,3460763.0,3460763.0,3424863.5,3485237.0,32,10,-135727.83,0.330,0,good
2,3296909.0,3296909.0,3257480.0,3337418.5,31,10,-134012.75,0.442,0,good
3,3157949.5,3157949.5,3122051.0,3171337.2,26,10,-131933.75,0.277,0,good
4,3029082.0,3029082.0,3010270.0,3053615.0,27,10,-112398.50,0.286,0,good
5,2933028.0,2933028.0,2907603.5,2959444.5,24,9,-95631.62,0.402,0,good
6,2847315.0,2847315.0,2828663.0,2869120.0,25,10,-78717.75,0.381,0,good
7,2775423.0,2775423.0,2757791.5,2786716.0,23,10,-69146.25,0.310,0,good
8,2714211.0,2714211.0,2695805.0,2732975.0,25,10,-57120.50,0.482,0,good
9,2656443.0,2656443.0,2645937.0,2667841.0,25,10,-49683.25,0.327,0,good
10,2618833.0,2618833.0,2607123.0,2629011.0,23,10,-42678.50,0.380,0,good
11,2576690.0,2576690.0,2566370.5,2583065.5,23,10,-37682.50,0.328,0,good
12,2543497.0,2543497.0,2531275.0,2552260.0,23,10,-35729.50,0.435,0,good
13,2505713.0,2505713.0,2497070.0,2515385.0,25,10,-30039.12,0.452,0,good
14,2475915.0,2475915.0,2472647.0,2483868.0,21,10,-26677.25,0.312,0,good
15,2456533.5,2456533.5,2451222.8,2465345.8,22,10,-22621.88,0.463,0,good
16,2436788.0,2436788.0,2430720.0,2441435.0,25,10,-19850.75,0.400,0,good
17,2415225.5,2415225.5,2410347.8,2421447.5,22,10,-18932.88,0.435,0,good
18,2396512.0,2396512.0,2392439.0,2400693.0,21,8,-17560.00,0.348,0,good
19,2380802.0,2380802.0,2376613.5,2385978.0,23,10,-15841.12,0.438,0,good
20,2366548.0,2366548.0,2361744.0,2370029.0,25,10,-14485.50,0.424,0,good
21,2351861.0,2351861.0,2349185.0,2355083.8,20,10,-14106.25,0.310,0,good
22,2338570.0,2338570.0,2334464.0,2342482.0,21,10,-13163.25,0.452,0,good
23,2324377.0,2324377.0,2322939.0,2329339.5,23,10,-12036.50,0.394,0,good
24,2313895.0,2313895.0,2311005.0,2316985.0,25,10,-11103.25,0.399,0,good
25,2303715.0,2303715.0,2301626.0,2306493.0,25,10,-10115.88,0.357,0,good
26,2294157.0,2294157.0,2291019.0,2296796.0,25,10,-9790.12,0.437,0,good
27,2283913.5,2283913.5,2280946.2,2287079.5,28,10,-9151.75,0.497,0,good
28,2274734.5,2274734.5,2272458.5,2276898.8,26,10,-8680.38,0.379,0,good
29,2267108.0,2267108.0,2264143.5,2267939.0,27,10,-7892.75,0.356,0,good
30,2259435.5,2259435.5,2257902.5,2261862.2,26,10,-7261.62,0.404,0,good
31,2252342.5,2252342.5,2250634.5,2254232.5,26,10,-7081.75,0.377,0,good
32,2245688.0,2245688.0,2243966.0,2247250.0,25,10,-6650.62,0.366,0,good
33,2238781.0,2238781.0,2236807.2,2240084.2,24,10,-6188.38,0.393,0,good
34,2232833.0,2232833.0,2230668.0,2234227.0,29,10,-5679.25,0.465,0,good
35,2227589.0,2227589.0,2225647.0,2228889.5,23,9,-5093.62,0.472,0,good
36,2222971.0,2222971.0,2221188.5,2224198.0,23,10,-5072.25,0.440,0,good
37,2218406.5,2218406.5,2216590.5,2218892.2,26,10,-4726.00,0.361,0,good
38,2212544.0,2212544.0,2211943.0,2213333.0,25,10,-4591.50,0.224,0,good
39,2208685.0,2208685.0,2207414.0,2209996.8,26,10,-4349.38,0.440,0,good
40,2204605.0,2204605.0,2203825.0,2205632.0,25,10,-3926.50,0.341,0,good
41,2201009.0,2201009.0,2200200.0,2201647.0,21,10,-3866.50,0.277,1,fair
42,2196838.0,2196838.0,2195952.5,2197868.0,26,10,-3685.50,0.385,1,fair
43,2193219.0,2193219.0,2192228.5,2194446.0,27,10,-3573.50,0.460,1,fair
44,2189863.0,2189863.0,2189124.2,2191134.8,24,10,-3139.75,0.475,1,fair
45,2186715.0,2186715.0,2186126.0,2187807.5,27,10,-2946.88,0.423,1,fair
46,2184279.0,2184279.0,2183999.5,2185116.8,22,10,-2747.25,0.301,1,fair
47,2181431.5,2181431.5,2180790.8,2182464.2,20,10,-2605.25,0.476,1,fair
48,2178874.0,2178874.0,2178051.2,2179968.8,26,10,-2590.00,0.549,1,fair
49,2176294.0,2176294.0,2175192.5,2176981.5,24,10,-2410.88,0.550,1,fair
50,2173919.0,2173919.0,2173375.8,2174668.8,24,10,-2299.12,0.417,1,fair
51,2171788.0,2171788.0,2171195.0,2172457.5,23,10,-2240.25,0.418,1,fair
52,2169677.5,2169677.5,2168984.0,2170070.8,22,10,-2036.25,0.396,1,fair
53,2167333.0,2167333.0,2166748.0,2167629.5,24,10,-2059.00,0.317,1,fair
54,2165774.0,2165774.0,2165158.0,2166207.0,21,10,-1898.62,0.410,1,fair
55,2163552.0,2163552.0,2162897.0,2164119.0,25,10,-1791.75,0.506,1,fair
56,2162083.0,2162083.0,2161336.0,2162807.0,21,10,-1742.75,0.626,1,fair
57,2160166.0,2160166.0,2159625.0,2160800.5,23,10,-1572.12,0.554,1,fair
58,2158803.0,2158803.0,2158258.0,2159254.8,22,10,-1613.12,0.458,1,fair
59,2157263.5,2157263.5,2156682.8,2157665.2,24,10,-1561.00,0.467,1,fair
60,2155630.5,2155630.5,2155161.5,2155969.5,24,10,-1465.12,0.409,1,fair
61,2153922.0,2153922.0,2153704.0,2154583.0,21,10,-1370.62,0.475,1,fair
62,2152942.5,2152942.5,2152575.0,2153508.8,20,10,-1243.25,0.557,1,fair
63,2151781.0,2151781.0,2151252.8,2152447.2,22,10,-1073.25,0.825,1,fair
64,2150657.5,2150657.5,2150150.8,2150935.5,22,10,-1151.62,0.505,1,fair
65,2149629.0,2149629.0,2149056.0,2150000.0,23,10,-1166.25,0.600,1,fair
66,2148336.0,2148336.0,2148101.2,2148667.5,22,10,-1118.38,0.375,1,fair
67,2147116.0,2147116.0,2146761.0,2147636.0,23,10,-1088.25,0.596,1,fair
68,2146184.0,2146184.0,2145715.0,2146600.0,25,10,-976.50,0.672,1,fair
69,2145276.0,2145276.0,2145173.5,2145562.5,19,10,-876.88,0.329,1,fair
70,2144430.0,2144430.0,2143906.0,2144819.2,22,10,-909.75,0.744,1,fair
71,2143608.5,2143608.5,2143355.2,2143934.0,24,10,-882.38,0.486,1,fair
72,2142545.0,2142545.0,2142143.2,2143023.8,22,10,-836.75,0.780,1,fair
73,2141746.5,2141746.5,2141295.0,2142492.2,22,10,-823.88,1.077,1,fair
74,2141083.0,2141083.0,2140783.0,2141677.0,21,10,-717.00,0.924,1,fair
75,2140313.0,2140313.0,2140075.0,2140645.0,25,10,-636.62,0.664,1,fair
76,2139677.0,2139677.0,2139318.5,2140149.5,23,10,-658.75,0.935,1,fair
77,2139200.0,2139200.0,2138784.5,2139636.0,22,10,-685.75,0.920,1,fair
78,2138448.0,2138448.0,2138104.8,2138911.2,24,10,-637.50,0.938,1,fair
79,2137570.0,2137570.0,2137310.5,2137929.5,23,10,-684.12,0.671,1,fair
80,2137127.0,2137127.0,2136679.0,2137304.0,21,10,-638.25,0.726,1,fair
81,2136463.5,2136463.5,2136136.8,2137020.8,24,10,-455.75,1.438,2,poor
82,2135895.0,2135895.0,2135541.8,2136326.8,20,10,-537.00,1.084,2,poor
83,2135747.0,2135747.0,2135008.0,2136084.0,23,10,-464.88,1.716,2,poor
84,2134979.0,2134979.0,2134671.0,2135183.0,21,10,-477.75,0.794,2,poor
85,2134604.0,2134604.0,2134364.0,2134836.0,25,10,-515.50,0.679,2,poor
86,2133984.0,2133984.0,2133597.0,2134186.0,21,10,-448.00,0.975,2,poor
87,2133685.0,2133685.0,2133171.0,2133954.0,23,10,-487.50,1.191,2,poor
88,2133187.0,2133187.0,2132720.0,2133524.0,21,10,-421.00,1.416,2,poor
89,2132654.0,2132654.0,2132355.5,2133040.5,23,10,-458.50,1.107,2,poor
90,2132300.0,2132300.0,2131937.2,2132460.2,24,10,-398.50,0.973,2,poor
91,2131851.0,2131851.0,2131682.0,2132140.2,22,10,-393.75,0.863,2,poor
92,2131593.0,2131593.0,2131153.0,2132001.5,23,10,-339.00,1.855,2,poor
93,2131079.0,2131079.0,2130910.0,2131411.8,22,10,-353.25,1.053,2,poor
94,2130944.0,2130944.0,2130832.0,2131555.0,21,10,-279.12,1.920,2,poor
95,2130438.0,2130438.0,2130212.5,2130832.0,23,10,-276.25,1.662,2,poor
96,2130476.5,2130437.0,2130222.0,2130635.8,20,10,-364.50,0.841,2,poor
97,2129974.0,2129974.0,2129588.0,2130381.0,21,10,-272.00,2.161,2,poor
98,2129486.0,2129486.0,2129039.0,2129826.0,23,10,-332.38,1.755,2,poor
99,2129350.0,2129350.0,2129072.0,2129773.5,23,10,-289.50,1.796,2,poor
100,2129147.0,2129147.0,2128913.8,2129335.2,20,10,-310.62,1.006,2,poor
101,2128816.0,2128816.0,2128457.0,2129207.0,23,10,-303.00,1.835,2,poor
102,2128243.5,2128243.5,2128099.0,2128538.8,20,10,-223.75,1.457,2,poor
103,2128138.0,2128138.0,2127844.0,2128555.5,23,10,-273.62,1.928,2,poor
104,2128252.0,2128137.0,2127680.5,2128623.5,23,10,-149.38,4.680,2,poor
105,2127721.5,2127721.5,2127399.5,2127896.8,22,10,-177.38,2.078,2,poor
106,2127646.0,2127646.0,2127166.0,2127925.0,21,10,-304.25,1.849,2,poor
107,2127428.5,2127428.5,2127173.2,2127838.8,22,10,-200.12,2.465,2,poor
108,2127035.0,2127035.0,2126746.5,2127486.5,23,10,-179.50,3.056,2,poor
109,2126921.0,2126921.0,2126627.5,2127164.5,19,9,-248.88,1.599,2,poor
110,2126928.0,2126920.0,2126604.5,2127377.5,20,10,-203.25,2.819,2,poor
111,2126433.0,2126433.0,2126267.0,2126793.8,24,10,-206.75,1.889,2,poor
112,2126222.0,2126222.0,2125953.8,2126850.0,22,10,-225.50,2.946,2,poor
113,2126094.0,2126094.0,2125816.8,2126457.2,20,10,-129.25,3.673,2,poor
114,2126026.0,2126026.0,2125691.0,2126327.0,21,10,-149.00,3.164,2,poor
115,2125916.0,2125916.0,2125614.0,2126222.0,21,10,-124.88,3.609,2,poor
116,2125626.0,2125626.0,2125493.0,2125966.0,21,10,-208.50,1.682,2,poor
117,2125594.5,2125594.5,2125232.8,2125823.2,22,10,-115.12,3.802,2,poor
118,2125192.0,2125192.0,2125038.5,2125650.5,22,10,-165.50,2.741,2,poor
119,2125455.5,2125191.0,2125055.0,2125767.2,22,10,-139.88,3.775,2,poor
120,2124964.0,2124964.0,2124685.0,2125513.5,20,10,-83.88,7.322,3,saturated
121,2125035.0,2124963.0,2124829.0,2125477.0,21,10,-172.88,2.779,2,poor
122,2124856.5,2124856.5,2124592.0,2125216.5,22,10,-122.62,3.775,2,poor
123,2124764.0,2124764.0,2124384.0,2125114.0,19,10,-65.50,8.262,3,saturated
124,2124473.5,2124473.5,2124130.8,2124756.5,20,10,-110.75,4.188,2,poor
125,2124773.0,2124472.5,2124475.0,2124975.0,23,10,-184.12,2.013,2,poor
126,2124413.5,2124413.5,2124096.5,2124711.8,22,10,-76.88,5.933,3,saturated
127,2124027.5,2124027.5,2123801.5,2124179.8,18,10,-134.00,2.092,2,poor
128,2124166.0,2124026.5,2123763.0,2124480.5,22,10,-150.88,3.525,2,poor
129,2124237.0,2124025.5,2123601.5,2124653.5,23,10,-99.38,7.847,3,saturated
130,2123810.0,2123810.0,2123717.5,2124233.5,19,10,-138.62,2.759,2,poor
131,2123630.0,2123630.0,2123412.2,2123894.0,22,10,-199.25,1.792,2,poor
132,2123611.5,2123611.5,2123413.0,2124699.8,18,10,-39.75,23.996,3,saturated
133,2123440.0,2123440.0,2123142.0,2123825.0,21,10,-1.75,289.315,3,saturated
134,2123651.0,2123439.0,2123390.5,2124070.0,23,10,-29.75,16.931,3,saturated
135,2123623.0,2123438.0,2123308.5,2123906.8,22,10,-8.25,53.755,3,saturated
136,2123492.5,2123437.0,2123131.5,2123742.2,20,10,-113.00,4.007,2,poor
137,2123407.0,2123407.0,2123121.0,2123789.0,21,10,-128.00,3.869,2,poor
138,2123199.0,2123199.0,2122992.5,2123506.0,19,10,-105.88,3.595,2,poor
139,2123111.0,2123111.0,2122853.2,2123487.0,24,10,-56.38,8.333,3,saturated
140,2123069.0,2123069.0,2122707.5,2123454.5,19,10,-120.25,4.605,2,poor
141,2123181.5,2123068.0,2122836.0,2123786.2,22,10,-40.38,17.447,3,saturated
142,2122718.0,2122718.0,2122537.0,2122770.0,21,10,-102.25,1.689,2,poor
143,2122949.5,2122717.0,2122485.5,2123238.2,18,10,-88.88,6.279,3,saturated
144,2122660.0,2122660.0,2122495.2,2123008.2,22,10,29.88,12.729,3,saturated
145,2122826.0,2122659.0,2122512.0,2123134.0,21,10,-48.38,9.531,3,saturated
146,2122837.5,2122658.0,2122532.8,2123154.8,18,10,-38.00,12.134,3,saturated
147,2122756.0,2122657.0,2122466.8,2123314.0,22,10,-35.75,17.568,3,saturated
148,2122508.0,2122508.0,2122218.0,2122893.2,20,10,-134.12,3.732,2,poor
149,2122683.0,2122507.0,2122364.5,2123068.5,23,10,-76.25,6.844,3,saturated
150,2122301.0,2122301.0,2122055.0,2122552.0,17,10,-99.50,3.703,2,poor
151,2122451.0,2122300.0,2122221.0,2122769.0,21,10,-128.50,3.161,2,poor
152,2122110.0,2122110.0,2121890.5,2122718.0,19,10,-30.00,20.447,3,saturated
