distance_mm,ch1_median,ch1_mono,ch1_p25,ch1_p75,n,slope_per_mm,est_res_mm,quality,quality_name
0,7587786.0,7587786.0,7578841.5,7597722.0,9,-232399.00,0.081,0,good
1,7412348.8,7412348.8,7391712.0,7441807.8,8,-261988.33,0.191,0,good
2,7122988.0,7122988.0,7082456.0,7229907.0,9,-243017.00,0.607,0,good
3,6801821.0,6801821.0,6779925.0,6905035.0,7,-249713.19,0.501,0,good
4,6615718.0,6615718.0,6563529.8,6664703.8,6,-222885.50,0.454,0,good
5,6413496.0,6413496.0,6362731.5,6462441.0,6,-177506.50,0.562,0,good
6,6231446.0,6231446.0,6197106.5,6270305.0,6,-172956.38,0.423,0,good
7,6091795.0,6091795.0,6055290.0,6099063.0,5,-147863.50,0.296,0,good
8,5923892.5,5923892.5,5881377.8,5953753.5,8,-130334.75,0.555,0,good
9,5822042.0,5822042.0,5811939.5,5833464.5,3,-111452.38,0.193,0,good
10,5710107.0,5710107.0,5703577.0,5733388.5,7,-91632.38,0.325,0,good
11,5645985.5,5645985.5,5623097.5,5665104.0,4,-83955.50,0.500,0,good
12,5557363.0,5557363.0,5549283.5,5568650.5,7,-70904.25,0.273,0,good
13,5486220.0,5486220.0,5476702.0,5488658.0,3,-66295.88,0.180,0,good
14,5426490.0,5426490.0,5426353.0,5432898.5,6,-58522.00,0.112,0,good
15,5380802.0,5380802.0,5371947.0,5384315.8,4,-52097.75,0.237,0,good
16,5323275.0,5323275.0,5315649.0,5330081.5,7,-47853.12,0.302,0,good
17,5277829.0,5277829.0,5275792.0,5285294.0,3,-43850.38,0.217,0,good
18,5235077.5,5235077.5,5232554.8,5244929.2,6,-42219.75,0.293,0,good
19,5205400.5,5205400.5,5195790.2,5212634.2,4,-34440.00,0.489,0,good
20,5154396.0,5154396.0,5153455.0,5170545.0,5,-32219.88,0.530,0,good
21,5140069.0,5140069.0,5136157.0,5146768.0,4,-30065.50,0.353,0,good
22,5106198.0,5106198.0,5094946.0,5114079.0,5,-23796.00,0.804,0,good
23,5085138.5,5085138.5,5078086.0,5088053.0,4,-28056.50,0.355,0,good
24,5059212.0,5059212.0,5047015.0,5060373.0,5,-23064.75,0.579,0,good
25,5027843.0,5027843.0,5022490.0,5031109.0,5,-25391.50,0.339,0,good
26,5013939.0,5013939.0,5010462.0,5015912.2,4,-19375.25,0.281,0,good
27,4983572.5,4983572.5,4982272.5,4986002.8,4,-19758.12,0.189,0,good
28,4981711.0,4981711.0,4976147.0,4981747.0,5,-18433.00,0.304,0,good
29,4948810.5,4948810.5,4947503.0,4951508.0,4,-15487.38,0.259,0,good
30,4940207.0,4940207.0,4936767.0,4942263.0,5,-18933.50,0.290,0,good
31,4921623.0,4921623.0,4918209.0,4922817.0,5,-12850.62,0.359,0,good
32,4905977.0,4905977.0,4903330.0,4910494.0,5,-13755.25,0.521,0,good
33,4897408.0,4897408.0,4894852.0,4897745.5,3,-12714.75,0.228,0,good
34,4885186.0,4885186.0,4876115.0,4885887.0,5,-11639.12,0.840,0,good
35,4870764.0,4870764.0,4867070.0,4871296.0,5,-12803.50,0.330,0,good
36,4859420.5,4859420.5,4856691.8,4861433.8,4,-11375.88,0.417,0,good
37,4846194.0,4846194.0,4844443.0,4846593.0,5,-11065.12,0.194,0,good
38,4839682.5,4839682.5,4838554.8,4840312.5,4,-9648.38,0.182,0,good
39,4826503.5,4826503.5,4825267.8,4827572.5,4,-9174.25,0.251,0,good
40,4820827.0,4820827.0,4820359.0,4821846.0,5,-8714.62,0.171,0,good
