distance_mm,dch1_median,dch1_mono,dch1_p25,dch1_p75,n,slope_per_mm,est_res_mm,quality,quality_name
0,-1272.5,-1272.5,-13491.0,0.0,9,-233239.75,0.058,0,good
1,-190277.5,-190277.5,-201886.0,-156258.2,8,-262548.83,0.174,0,good
2,-467752.0,-467752.0,-520073.0,-343841.0,9,-243293.62,0.724,0,good
3,-788919.0,-788919.0,-824425.5,-670516.5,7,-250635.44,0.614,0,good
4,-974447.0,-974447.0,-1011120.0,-939553.0,6,-224359.12,0.319,0,good
5,-1192819.2,-1192819.2,-1242303.0,-1142542.4,6,-178748.25,0.558,0,good
6,-1365188.5,-1365188.5,-1405207.5,-1310638.2,6,-171960.56,0.550,0,good
7,-1503912.0,-1503912.0,-1522065.0,-1496784.0,5,-139721.69,0.181,0,good
8,-1662289.2,-1662289.2,-1725415.2,-1647914.4,8,-132719.12,0.584,0,good
9,-1751706.0,-1751706.0,-1770304.5,-1742087.0,3,-105504.69,0.267,0,good
10,-1896065.0,-1896065.0,-1903517.0,-1867723.2,7,-93287.69,0.384,0,good
11,-1925930.8,-1925930.8,-1955098.1,-1909545.8,4,-91150.75,0.500,0,good
12,-2035440.0,-2035440.0,-2046307.2,-2029613.5,7,-66873.31,0.250,0,good
13,-2116309.0,-2116309.0,-2119932.5,-2099480.5,3,-71224.56,0.287,0,good
14,-2163558.2,-2163558.2,-2173981.1,-2157357.5,6,-60530.50,0.275,0,good
15,-2210829.0,-2210829.0,-2223987.5,-2204678.0,4,-43986.62,0.439,0,good
16,-2277562.0,-2277562.0,-2283079.5,-2262621.8,7,-49076.88,0.417,0,good
17,-2292255.5,-2292255.5,-2312336.2,-2286622.2,3,-42691.88,0.602,0,good
18,-2359865.8,-2359865.8,-2369615.5,-2349668.6,6,-37613.12,0.530,0,good
19,-2381596.5,-2381596.5,-2404197.2,-2359561.4,4,-40769.50,1.095,0,good
20,-2428014.5,-2428014.5,-2431984.0,-2424471.0,5,-31639.56,0.237,0,good
21,-2455333.5,-2455333.5,-2459234.2,-2449613.2,4,-35402.88,0.272,0,good
22,-2486424.0,-2486424.0,-2487338.5,-2478802.0,5,-25212.38,0.339,0,good
23,-2523208.0,-2523208.0,-2527175.2,-2520754.5,4,-29949.62,0.214,0,good
24,-2528864.0,-2528864.0,-2541044.5,-2510872.5,5,-21904.00,1.377,0,good
25,-2575132.0,-2575132.0,-2580104.0,-2574113.0,5,-22353.75,0.268,0,good
26,-2574040.0,-2575132.0,-2580079.9,-2565522.4,4,-23091.00,0.630,0,good
27,-2612623.0,-2612623.0,-2614509.2,-2605792.4,4,-17933.38,0.486,0,good
28,-2621228.0,-2621228.0,-2625270.5,-2605209.0,5,-21278.62,0.943,0,good
29,-2646865.5,-2646865.5,-2651482.0,-2637564.4,4,-17189.25,0.810,0,good
30,-2659154.5,-2659154.5,-2666208.0,-2637383.0,5,-17525.75,1.645,0,good
31,-2681380.0,-2681380.0,-2684320.0,-2669117.0,5,-15474.62,0.982,0,good
32,-2691331.0,-2691331.0,-2699645.0,-2663679.0,5,-9351.75,3.846,1,fair
33,-2708764.0,-2708764.0,-2709498.5,-2690382.8,3,-13374.00,1.429,0,good
34,-2696561.5,-2708764.0,-2714625.0,-2690626.0,5,-8330.19,2.881,1,fair
35,-2734876.0,-2734876.0,-2735459.0,-2732211.0,5,-11853.50,0.274,0,good
36,-2724651.8,-2734876.0,-2734887.6,-2715958.4,4,-11772.62,1.608,0,good
37,-2756178.0,-2756178.0,-2758532.0,-2755936.0,5,-9352.50,0.278,0,good
38,-2743652.0,-2756178.0,-2753863.6,-2735502.9,4,-13984.69,1.313,0,good
39,-2772286.0,-2772286.0,-2775807.8,-2763438.8,4,-7950.75,1.556,0,good
40,-2780590.5,-2780590.5,-2782616.0,-2755242.0,5,-10069.69,2.718,1,fair
41,-2787981.0,-2787981.0,-2793640.2,-2777718.2,4,-7516.75,2.118,1,fair
42,-2783930.8,-2787981.0,-2799629.4,-2770126.1,4,-1320.88,22.336,3,saturated
43,-2802353.0,-2802353.0,-2808891.0,-2796499.0,5,-8392.00,1.477,1,fair
44,-2785874.0,-2802353.0,-2799169.2,-2782632.2,3,-7278.75,2.272,1,fair
45,-2821549.0,-2821549.0,-2824078.0,-2801285.8,7,-6209.62,3.670,1,fair
46,-2813045.8,-2821549.0,-2819702.6,-2806388.9,2,-12692.75,1.049,1,fair
47,-2827191.5,-2827191.5,-2836198.2,-2807892.5,6,-253.75,111.550,3,saturated
48,-2836645.0,-2836645.0,-2837283.2,-2823782.5,3,-8843.75,1.527,1,fair
49,-2822564.0,-2836645.0,-2835072.5,-2814407.9,4,442.12,46.739,3,saturated
50,-2848420.8,-2848420.8,-2851232.6,-2841796.2,6,-5150.75,1.832,1,fair
51,-2825423.0,-2848420.8,-2842090.5,-2824400.2,3,-2877.50,6.148,1,fair
52,-2857248.0,-2857248.0,-2858878.5,-2848243.0,5,-4482.31,2.373,1,fair
53,-2834074.0,-2857248.0,-2848405.5,-2833377.2,3,-4234.50,3.549,1,fair
54,-2866350.0,-2866350.0,-2866753.0,-2856362.0,5,-4072.25,2.552,1,fair
55,-2842361.0,-2866350.0,-2860492.5,-2841147.2,3,-5084.75,3.805,1,fair
56,-2873537.0,-2873537.0,-2874503.0,-2863950.0,5,-3903.00,2.704,1,fair
57,-2854413.0,-2873537.0,-2876034.5,-2849233.0,5,-6929.62,3.868,1,fair
58,-2881962.0,-2881962.0,-2883228.5,-2876456.5,3,-3834.50,1.766,1,fair
59,-2870079.5,-2881962.0,-2883337.1,-2856052.6,4,-2973.50,9.176,2,poor
60,-2888875.0,-2888875.0,-2890654.0,-2877140.0,5,-3802.25,3.554,1,fair
61,-2866307.0,-2888875.0,-2890157.5,-2862718.0,5,-2951.25,9.298,2,poor
62,-2897171.0,-2897171.0,-2899698.0,-2889936.0,3,-2390.75,4.083,1,fair
63,-2881884.5,-2897171.0,-2895412.9,-2867564.4,4,-5144.06,5.414,1,fair
64,-2898438.0,-2898438.0,-2902666.0,-2886830.0,5,1101.75,14.373,2,poor
65,-2886883.2,-2898438.0,-2900536.6,-2872525.1,4,-6121.12,4.576,1,fair
66,-2892764.0,-2898438.0,-2902808.0,-2884377.5,3,2346.62,7.854,1,fair
67,-2906369.0,-2906369.0,-2907221.5,-2905879.5,3,-6433.44,0.209,1,fair
68,-2889051.5,-2906369.0,-2903532.6,-2878661.2,6,-3184.81,7.809,1,fair
69,-2912617.0,-2912617.0,-2912617.0,-2912617.0,1,-2619.75,0.000,1,fair
70,-2905503.2,-2912617.0,-2910481.8,-2884502.8,8,-3817.12,6.806,1,fair
71,-2916848.0,-2916848.0,-2916848.0,-2916848.0,1,-2433.75,0.000,1,fair
72,-2904320.0,-2916848.0,-2914492.2,-2887422.5,7,1369.44,19.767,2,poor
73,-2922352.0,-2922352.0,-2923146.5,-2921557.5,2,-1941.88,0.818,1,fair
74,-2900025.5,-2922352.0,-2915680.1,-2890597.8,6,2173.00,11.543,2,poor
75,-2924615.5,-2924615.5,-2926719.2,-2922511.8,2,117.38,35.847,3,saturated
76,-2895628.0,-2924615.5,-2921846.0,-2893084.0,5,-1501.50,19.156,2,poor
77,-2921882.5,-2924615.5,-2926793.8,-2916289.2,3,-70.12,149.797,3,saturated
78,-2906031.5,-2924615.5,-2921477.5,-2896431.8,6,-1073.88,23.323,3,saturated
